SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-04-11 22:00:00,1.8998595362839537,0.008,10.8
2026-04-11 23:00:00,1.7648930546382942,0.008,10.6
2026-04-12 00:00:00,1.8837181629360593,0.008,10.3
2026-04-12 01:00:00,2.4171028970474637,0.012,10.2
2026-04-12 02:00:00,2.9376851454608124,0.045,10.0
2026-04-12 03:00:00,3.6256160176429106,0.1,10.0
2026-04-12 04:00:00,3.8640097829888305,0.12,9.8
2026-04-12 05:00:00,4.012950278538739,0.121,9.6
2026-04-12 06:00:00,4.1833636784729356,0.11,9.7
2026-04-12 07:00:00,4.0248468140563824,0.106,10.1
2026-04-12 08:00:00,4.006302412071377,0.082,11.1
2026-04-12 09:00:00,3.1246092793210876,0.065,12.1
2026-04-12 10:00:00,2.895075467836219,0.044,13.2
2026-04-12 11:00:00,2.4340461654246566,0.039,14.2
2026-04-12 12:00:00,2.4927079626196846,0.054,15.0
2026-04-12 13:00:00,2.460338139415876,0.086,14.8
2026-04-12 14:00:00,2.2762520794487386,0.13,14.8
2026-04-12 15:00:00,2.465738216218673,0.15,14.5
2026-04-12 16:00:00,2.5364102053203457,0.113,14.2
2026-04-12 17:00:00,2.5452749881954886,0.077,13.9
2026-04-12 18:00:00,2.5590612505356427,0.035,13.3
2026-04-12 19:00:00,2.0820244216581347,0.013,12.9
2026-04-12 20:00:00,1.9270952435563689,0.001,12.5
2026-04-12 21:00:00,1.9170967974141662,0.0,12.2
2026-04-12 22:00:00,1.9589928565588866,0.0,12.1
2026-04-12 23:00:00,2.2866550304535846,0.001,12.1
2026-04-13 00:00:00,2.406929262589188,0.001,12.1
2026-04-13 01:00:00,2.827703378807804,0.011,11.8
2026-04-13 02:00:00,3.9156761414487473,0.099,11.6
2026-04-13 03:00:00,4.72364379831788,0.235,11.0
2026-04-13 04:00:00,5.278509283644665,0.295,11.0
2026-04-13 05:00:00,5.962004330161399,0.317,11.1
2026-04-13 06:00:00,6.258006732953475,0.326,11.3
2026-04-13 07:00:00,6.141113639719365,0.358,11.8
2026-04-13 08:00:00,5.791767686221833,0.361,12.9
2026-04-13 09:00:00,5.458480470627167,0.368,14.2
2026-04-13 10:00:00,5.699611069941572,0.39,15.5
2026-04-13 11:00:00,6.0953675223809345,0.403,16.5
2026-04-13 12:00:00,6.126106327527022,0.434,17.2
2026-04-13 13:00:00,6.228197207919972,0.467,17.6
2026-04-13 14:00:00,6.052911708225853,0.583,17.3
2026-04-13 15:00:00,6.098640293312293,0.592,16.1
2026-04-13 16:00:00,5.8698461340659245,0.349,15.5
2026-04-13 17:00:00,4.861783356479755,0.113,15.0
2026-04-13 18:00:00,3.393100915322365,0.046,14.3
2026-04-13 19:00:00,2.9121332426219793,0.033,13.6
2026-04-13 20:00:00,2.511237103023513,0.027,13.4
2026-04-13 21:00:00,2.2666718826145926,0.021,13.6
2026-04-13 22:00:00,1.9692874896030987,0.015,13.5
2026-04-13 23:00:00,1.830226501405378,0.011,13.3
2026-04-14 00:00:00,1.4911508726963556,0.014,13.1
2026-04-14 01:00:00,1.7254199510944122,0.01,13.1
2026-04-14 02:00:00,2.2055279494299413,0.006,13.0
2026-04-14 03:00:00,2.5566406426147736,0.007,13.0
2026-04-14 04:00:00,2.262303655378995,0.012,12.9
2026-04-14 05:00:00,2.0238467373987707,0.02,12.9
2026-04-14 06:00:00,1.8440011210380889,0.02,13.0
2026-04-14 07:00:00,1.6822061234697077,0.009,13.6
2026-04-14 08:00:00,1.7847401064330723,0.004,14.3
2026-04-14 09:00:00,1.8682452066472885,0.003,14.7
2026-04-14 10:00:00,1.5948027040388153,0.0,15.2
2026-04-14 11:00:00,1.467371836720376,0.014,15.4
2026-04-14 12:00:00,1.7768399808252242,0.047,15.7
2026-04-14 13:00:00,2.4231775709062697,0.072,15.9
2026-04-14 14:00:00,3.1918288709305163,0.093,16.0
2026-04-14 15:00:00,3.3900202056460733,0.103,15.9
2026-04-14 16:00:00,3.6459287777521494,0.11,15.8
