SYSDATETIME,GFS_wind_speed_80m,GFS_wind_direction_80m,GFS_temperature_2m,GFS_relative_humidity_2m,GFS_wind_gusts_10m,ECMWF_wind_speed_100m,ECMWF_wind_speed_10m,ECMWF_wind_direction_10m,ECMWF_temperature_2m,ECMWF_relative_humidity_2m,ICON_wind_speed_80m,ICON_wind_direction_80m,ICON_temperature_2m,ICON_relative_humidity_2m,ICON_wind_gusts_10m,GEM_wind_speed_80m,GEM_wind_direction_80m,GEM_temperature_2m,GEM_relative_humidity_2m,GEM_wind_gusts_10m,JMA_wind_speed_10m,JMA_wind_direction_10m,JMA_temperature_2m,JMA_relative_humidity_2m
2026-05-19 00:00:00,3.28,149.0,17.9,61,2.9,2.58,1.84,119.0,17.9,73.0,0.92,139.0,19.4,76.0,0.9,5.3,160.0,17.2,85.0,3.7,2.06,157.0,16.5,88.0
2026-05-19 01:00:00,2.64,115.0,17.5,62,2.6,3.0,1.97,114.0,17.2,77.0,1.27,135.0,19.2,80.0,1.2,5.2,155.0,17.1,85.0,3.4,2.06,157.0,16.2,88.0
2026-05-19 02:00:00,2.82,96.0,18.0,61,2.9,3.52,1.99,108.0,16.3,81.0,1.63,133.0,19.1,82.0,1.5,5.1,149.0,17.0,84.0,3.1,2.06,157.0,16.0,88.0
2026-05-19 03:00:00,3.14,99.0,17.5,63,3.3,4.0,1.99,108.0,15.7,83.0,1.77,164.0,19.2,80.0,1.1,5.2,144.0,16.9,84.0,3.0,2.06,157.0,16.0,87.0
2026-05-19 04:00:00,3.01,111.0,16.8,66,3.2,4.34,1.93,111.0,15.4,82.0,2.01,174.0,19.5,75.0,0.8,5.9,148.0,16.8,84.0,3.6,2.19,156.0,16.1,86.0
2026-05-19 05:00:00,2.59,118.0,16.5,67,2.8,4.56,1.97,120.0,15.3,79.0,3.04,163.0,19.6,72.0,1.6,6.9,152.0,16.6,85.0,4.4,2.42,156.0,16.5,85.0
2026-05-19 06:00:00,2.56,111.0,17.3,67,3.0,4.7,2.06,129.0,15.8,75.0,3.7,161.0,19.7,68.0,2.1,7.5,156.0,16.8,85.0,5.0,2.68,153.0,16.9,83.0
2026-05-19 07:00:00,2.62,108.0,18.8,63,2.8,4.74,2.41,138.0,17.3,70.0,3.99,158.0,19.6,67.0,2.5,7.3,156.0,17.1,85.0,5.1,2.82,153.0,17.5,82.0
2026-05-19 08:00:00,3.85,99.0,20.3,57,3.7,4.65,2.97,147.0,19.4,64.0,4.25,150.0,19.7,67.0,3.3,6.6,156.0,17.6,84.0,4.8,2.82,153.0,18.0,80.0
2026-05-19 09:00:00,3.73,110.0,21.6,53,2.9,4.16,2.95,152.0,21.1,59.0,4.29,152.0,20.0,69.0,3.7,5.7,156.0,18.0,84.0,4.3,2.55,154.0,18.6,79.0
2026-05-19 10:00:00,3.91,122.0,22.9,50,3.0,3.22,2.06,157.0,22.5,54.0,3.73,160.0,20.3,71.0,3.6,4.4,171.0,18.1,84.0,3.3,1.93,159.0,19.2,78.0
2026-05-19 11:00:00,4.6,134.0,23.2,50,3.5,1.9,0.81,173.0,23.5,49.0,3.01,159.0,20.6,75.0,3.2,2.9,185.0,18.1,83.0,2.1,1.0,174.0,19.9,77.0
2026-05-19 12:00:00,4.53,137.0,24.7,45,3.2,0.45,0.72,304.0,23.8,48.0,2.44,161.0,20.9,77.0,2.4,2.0,200.0,18.2,83.0,1.3,0.73,254.0,20.6,76.0
2026-05-19 13:00:00,1.53,148.0,26.6,37,0.7,2.11,1.86,324.0,22.9,53.0,1.66,155.0,21.5,74.0,1.6,2.1,238.0,18.5,82.0,1.2,1.57,297.0,21.3,75.0
2026-05-19 14:00:00,2.31,342.0,27.0,34,3.2,4.79,3.04,333.0,21.3,61.0,2.3,178.0,22.2,71.0,1.9,2.6,276.0,18.8,80.0,1.5,2.36,306.0,21.7,75.0
2026-05-19 15:00:00,5.02,317.0,25.7,42,5.2,6.53,3.76,335.0,20.0,67.0,2.42,218.0,21.7,72.0,2.6,3.2,314.0,18.9,80.0,1.8,2.77,311.0,21.9,75.0
2026-05-19 16:00:00,4.36,328.0,23.6,51,4.1,6.8,3.85,335.0,19.6,69.0,1.35,228.0,21.3,75.0,2.6,3.6,328.0,18.6,82.0,1.9,2.62,313.0,21.7,76.0
2026-05-19 17:00:00,5.23,334.0,22.3,55,4.6,6.22,3.44,334.0,19.5,70.0,1.17,239.0,21.1,76.0,1.7,3.9,343.0,18.2,86.0,2.0,2.05,317.0,21.2,77.0
2026-05-19 18:00:00,5.57,351.0,21.1,59,4.1,5.14,2.82,337.0,19.5,70.0,0.51,349.0,20.4,80.0,1.8,4.0,357.0,17.9,88.0,2.1,1.36,324.0,20.5,78.0
2026-05-19 19:00:00,4.88,23.0,19.0,69,3.6,3.81,1.92,351.0,19.2,70.0,0.85,291.0,20.0,84.0,1.6,3.8,17.0,17.8,88.0,2.3,0.61,351.0,19.8,80.0
2026-05-19 20:00:00,3.64,32.0,18.3,69,3.1,2.66,1.3,32.0,19.0,71.0,1.36,144.0,20.1,83.0,1.6,3.3,37.0,17.8,88.0,2.5,0.51,79.0,19.1,81.0
