SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-05-17 00:00:00,2.302377418313752,0.0,16.3
2026-05-17 01:00:00,2.573211240443251,0.003,16.1
2026-05-17 02:00:00,2.8279714938720817,0.018,16.0
2026-05-17 03:00:00,3.0837033631166726,0.039,15.9
2026-05-17 04:00:00,3.032870026063041,0.035,15.8
2026-05-17 05:00:00,3.0975841004654807,0.021,15.7
2026-05-17 06:00:00,3.034878699761744,0.017,15.9
2026-05-17 07:00:00,3.438568476973404,0.019,16.8
2026-05-17 08:00:00,3.626329932277346,0.034,17.7
2026-05-17 09:00:00,3.434688469604267,0.063,18.6
2026-05-17 10:00:00,3.447496802152667,0.125,19.3
2026-05-17 11:00:00,3.46927467455243,0.226,19.8
2026-05-17 12:00:00,3.617761433943891,0.335,20.3
2026-05-17 13:00:00,3.817648788196317,0.41,20.6
2026-05-17 14:00:00,4.19729279047948,0.487,20.7
2026-05-17 15:00:00,4.452295318877281,0.487,20.6
2026-05-17 16:00:00,4.722219106160778,0.445,20.1
2026-05-17 17:00:00,4.263627771590076,0.403,19.5
2026-05-17 18:00:00,3.858884246669946,0.299,18.9
2026-05-17 19:00:00,3.3734875438998846,0.145,18.2
2026-05-17 20:00:00,2.5990353659553063,0.033,17.4
2026-05-17 21:00:00,2.467747827793923,0.005,17.0
2026-05-17 22:00:00,2.5474266330129507,0.005,16.7
2026-05-17 23:00:00,2.4354087765079586,0.013,16.4
2026-05-18 00:00:00,2.6098117631373148,0.02,16.2
2026-05-18 01:00:00,2.5138752888132436,0.02,16.0
2026-05-18 02:00:00,2.7934047262523984,0.026,15.9
2026-05-18 03:00:00,2.651266268301981,0.039,15.7
2026-05-18 04:00:00,2.553684725119954,0.052,15.6
2026-05-18 05:00:00,2.372496121065606,0.07,15.4
2026-05-18 06:00:00,2.368392180210326,0.059,15.6
2026-05-18 07:00:00,2.1346658878488527,0.016,16.5
2026-05-18 08:00:00,2.1816904153056336,0.005,17.8
2026-05-18 09:00:00,2.3655102284225995,0.041,19.0
2026-05-18 10:00:00,2.6874328786479467,0.082,19.9
2026-05-18 11:00:00,2.971853731649651,0.128,20.6
2026-05-18 12:00:00,3.633342150842126,0.164,21.3
2026-05-18 13:00:00,4.28929814875905,0.241,21.4
2026-05-18 14:00:00,5.028019517470296,0.323,21.4
2026-05-18 15:00:00,5.3255334154011225,0.335,21.1
2026-05-18 16:00:00,5.17048584717785,0.212,20.8
2026-05-18 17:00:00,4.712150842310671,0.1,20.3
2026-05-18 18:00:00,4.139338258994365,0.041,19.8
2026-05-18 19:00:00,3.4061062087232705,0.018,19.1
2026-05-18 20:00:00,3.299579814575471,0.005,18.5
2026-05-18 21:00:00,3.112137273005544,0.005,18.3
2026-05-18 22:00:00,2.775299879058129,0.015,17.9
2026-05-18 23:00:00,2.5679843167585643,0.035,17.6
2026-05-19 00:00:00,2.8909430567901873,0.05,17.3
2026-05-19 01:00:00,2.6567537871415925,0.05,17.1
2026-05-19 02:00:00,2.613283560798438,0.037,16.8
2026-05-19 03:00:00,2.6184205073259714,0.029,16.7
2026-05-19 04:00:00,2.6651853037819113,0.033,16.6
2026-05-19 05:00:00,2.774751316674701,0.047,16.6
2026-05-19 06:00:00,3.1133293550306265,0.05,16.7
2026-05-19 07:00:00,3.160527330887159,0.033,17.4
2026-05-19 08:00:00,2.773116129861968,0.01,18.5
2026-05-19 09:00:00,2.708792980675735,0.006,19.2
2026-05-19 10:00:00,3.1142803168465285,0.039,20.0
2026-05-19 11:00:00,3.514690425773192,0.15,20.2
2026-05-19 12:00:00,4.1254462880483995,0.291,20.5
2026-05-19 13:00:00,4.399474914652103,0.297,20.8
2026-05-19 14:00:00,4.683157387246734,0.243,21.2
2026-05-19 15:00:00,3.9586745788956397,0.201,21.2
2026-05-19 16:00:00,3.592205413541242,0.181,21.2
2026-05-19 17:00:00,3.7865701150324247,0.143,20.6
2026-05-19 18:00:00,4.273215341346561,0.102,20.0
2026-05-19 19:00:00,4.500725902747254,0.062,19.6
2026-05-19 20:00:00,4.440261828750028,0.028,19.2
2026-05-19 21:00:00,4.004178689805869,0.011,18.9
2026-05-19 22:00:00,3.4033018152523926,0.003,18.6
2026-05-19 23:00:00,2.9122283681308874,0.001,18.5
2026-05-20 00:00:00,2.6595503260105064,0.0,18.3
2026-05-20 01:00:00,2.3981494080691803,0.0,18.0
2026-05-20 02:00:00,2.2768515351582206,0.002,17.8
2026-05-20 03:00:00,2.246703369329358,0.006,17.8
2026-05-20 04:00:00,2.8773109631066944,0.015,17.9
