SYSDATETIME,WTG001_POWER,WTG002_POWER,WTG003_POWER,WTG004_POWER,WTG005_POWER,WTG006_POWER,WTG007_POWER,WTG008_POWER,WTG009_POWER,WTG010_POWER,WTG011_POWER,WTG012_POWER,WTG013_POWER,WTG014_POWER,WTG015_POWER,WTG016_POWER,WTG017_POWER,WTG018_POWER,WTG019_POWER,WTG020_POWER,POWER_TOTAL
2026-05-16 00:00:00,0.0,29.7,0.0,0.0,1.2,4.3,35.3,35.8,0.0,11.4,0.3,0.0,0.8,0.0,0.0,0.0,5.9,0.0,12.2,6.1,143.0
2026-05-16 01:00:00,0.0,30.5,0.0,0.0,4.2,3.8,36.6,35.6,0.0,10.6,0.3,0.0,0.8,0.0,0.0,0.0,5.5,0.0,11.7,6.3,145.9
2026-05-16 02:00:00,0.0,30.5,0.0,0.0,4.1,3.4,36.5,35.6,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,12.6,7.0,148.2
2026-05-16 03:00:00,0.0,30.5,0.0,0.0,5.4,3.6,35.9,35.6,0.0,11.6,0.0,2.2,0.0,0.8,0.0,0.0,6.9,0.0,12.6,7.0,152.1
2026-05-16 04:00:00,0.0,31.2,0.0,0.0,8.7,6.5,35.5,35.4,0.0,12.2,10.2,2.2,0.0,3.1,0.0,0.0,8.5,0.4,16.0,7.0,176.9
2026-05-16 05:00:00,0.0,31.7,0.0,0.0,9.8,7.1,36.1,36.0,0.0,9.1,3.8,6.0,1.4,5.6,0.0,0.0,8.5,2.9,16.2,7.0,181.2
2026-05-16 06:00:00,0.0,31.5,0.0,2.2,11.2,8.4,35.7,35.9,0.0,10.0,0.0,2.9,1.3,6.3,0.0,0.0,9.4,2.2,18.2,6.7,181.9
2026-05-16 07:00:00,1.4,30.2,0.0,0.0,9.1,7.6,35.0,35.5,0.9,12.1,0.0,0.0,1.5,6.4,0.0,0.0,11.6,0.1,17.7,2.9,172.0
2026-05-16 08:00:00,1.9,29.7,0.0,2.2,12.5,1.7,35.5,34.1,1.4,6.0,3.7,0.0,3.4,4.3,0.0,0.0,0.2,0.0,12.0,0.0,148.6
2026-05-16 09:00:00,0.0,29.9,0.0,2.7,13.4,0.7,33.3,33.7,2.1,6.9,0.0,0.0,3.2,4.3,0.0,0.0,0.0,0.0,8.0,0.0,138.2
2026-05-16 10:00:00,0.0,32.4,0.0,4.7,2.5,1.6,34.8,33.6,1.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,120.6
2026-05-16 11:00:00,37.6,69.7,38.9,27.9,37.8,23.3,56.7,69.4,18.8,84.2,39.2,17.2,38.2,70.2,32.4,50.0,56.4,33.1,53.1,103.4,957.5
2026-05-16 12:00:00,175.7,129.5,162.0,147.9,137.8,161.7,122.0,115.8,140.5,185.6,149.9,127.5,171.1,155.2,138.7,177.9,192.0,159.7,173.1,251.2,3174.8
2026-05-16 13:00:00,231.0,176.0,176.8,209.5,217.8,239.0,162.1,157.9,206.5,276.8,225.9,210.8,242.3,228.0,225.1,236.1,275.5,275.0,290.6,345.5,4608.2
2026-05-16 14:00:00,301.2,215.1,258.8,293.9,302.5,308.3,212.8,220.8,317.2,326.1,291.5,287.6,309.4,355.1,320.8,304.2,347.4,400.8,419.5,413.8,6206.8
2026-05-16 15:00:00,428.0,242.8,422.7,404.8,424.2,459.0,261.5,264.6,438.7,449.4,432.5,409.7,397.8,475.0,459.2,450.8,522.6,538.9,574.8,564.5,8621.5
