SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-05-21 00:00:00,10.950250066257091,0.583,19.3
2026-05-21 01:00:00,10.21038201038385,0.458,19.0
2026-05-21 02:00:00,9.331358303274362,0.344,18.5
2026-05-21 03:00:00,8.19621946104284,0.287,17.8
2026-05-21 04:00:00,7.731080794575436,0.287,17.5
2026-05-21 05:00:00,7.840641604189939,0.315,17.2
2026-05-21 06:00:00,8.368683692013104,0.368,17.0
2026-05-21 07:00:00,8.045680004599523,0.47,16.9
2026-05-21 08:00:00,8.011209285108349,0.706,17.0
2026-05-21 09:00:00,8.280513362565804,0.927,17.0
2026-05-21 10:00:00,8.19122848787653,1.019,17.0
2026-05-21 11:00:00,7.831230884724952,1.019,17.0
2026-05-21 12:00:00,7.571691888107544,1.019,17.2
2026-05-21 13:00:00,7.307811873400719,0.898,17.3
2026-05-21 14:00:00,6.929573801077031,0.742,17.2
2026-05-21 15:00:00,5.98364096583252,0.542,17.3
2026-05-21 16:00:00,5.05493576964041,0.306,17.3
2026-05-21 17:00:00,3.8785998000384683,0.134,17.2
2026-05-21 18:00:00,3.1465346604829136,0.047,17.2
2026-05-21 19:00:00,2.2086842174420616,0.005,17.1
2026-05-21 20:00:00,2.989854863061699,0.003,17.0
2026-05-21 21:00:00,3.5387204288310876,0.023,17.0
2026-05-21 22:00:00,3.8206032982167146,0.016,17.1
2026-05-21 23:00:00,3.7206959943165527,0.012,17.1
2026-05-22 00:00:00,3.786048912705578,0.024,17.0
2026-05-22 01:00:00,3.375579916634732,0.015,17.1
2026-05-22 02:00:00,3.1072587964481073,0.015,17.2
2026-05-22 03:00:00,3.3675756327534367,0.025,17.3
2026-05-22 04:00:00,3.2433084374482615,0.02,17.3
2026-05-22 05:00:00,3.2312416854451884,0.01,17.3
2026-05-22 06:00:00,3.2101017311076143,0.006,17.3
2026-05-22 07:00:00,2.664012358566221,0.01,17.8
2026-05-22 08:00:00,2.8445550933900616,0.024,18.4
2026-05-22 09:00:00,2.8141721088360865,0.02,18.7
2026-05-22 10:00:00,2.3092629289459063,0.024,19.0
2026-05-22 11:00:00,2.3383044603969934,0.241,19.8
2026-05-22 12:00:00,2.6437808765118804,0.567,20.4
2026-05-22 13:00:00,2.9595792451297505,0.51,20.4
2026-05-22 14:00:00,3.193330736906929,0.326,20.5
2026-05-22 15:00:00,3.066565609383049,0.241,20.5
2026-05-22 16:00:00,2.9985656093830486,0.203,20.4
2026-05-22 17:00:00,3.1556715758125278,0.166,20.3
2026-05-22 18:00:00,3.346194389584077,0.123,19.6
2026-05-22 19:00:00,3.1182025422065354,0.089,18.8
2026-05-22 20:00:00,2.648856235551577,0.054,18.2
2026-05-22 21:00:00,2.515052090493448,0.023,17.9
2026-05-22 22:00:00,2.185696720295618,0.003,17.6
2026-05-22 23:00:00,2.6284972418845323,0.015,17.4
2026-05-23 00:00:00,3.06715677480908,0.058,17.2
2026-05-23 01:00:00,3.6577651054623876,0.092,16.9
2026-05-23 02:00:00,3.9128510059806256,0.089,16.6
2026-05-23 03:00:00,3.519040313267725,0.076,16.5
2026-05-23 04:00:00,3.3926504735405727,0.041,16.3
2026-05-23 05:00:00,3.0739753488255595,0.015,16.2
2026-05-23 06:00:00,3.0460453224428177,0.002,16.4
2026-05-23 07:00:00,3.5469753201347363,0.002,16.8
2026-05-23 08:00:00,3.85296089186447,0.028,17.5
2026-05-23 09:00:00,4.134514017150233,0.072,18.1
2026-05-23 10:00:00,4.123384411495313,0.077,18.6
2026-05-23 11:00:00,3.20023059257955,0.114,19.2
2026-05-23 12:00:00,2.821757232357106,0.113,19.8
2026-05-23 13:00:00,2.3119321870784253,0.065,20.0
2026-05-23 14:00:00,2.929814587176773,0.254,20.4
2026-05-23 15:00:00,3.515461720460088,0.661,20.1
2026-05-23 16:00:00,3.8671660032869415,0.727,20.4
2026-05-23 17:00:00,3.9291279006281496,0.567,20.2
2026-05-23 18:00:00,4.377386026937077,0.413,19.7
2026-05-23 19:00:00,5.420103419751934,0.368,18.7
2026-05-23 20:00:00,5.7568009914332805,0.321,18.1
2026-05-23 21:00:00,5.318794495717016,0.243,17.8
2026-05-23 22:00:00,4.349110967938772,0.107,17.6
2026-05-23 23:00:00,3.3449685933580806,0.027,17.2
2026-05-24 00:00:00,2.9660784800950593,0.008,17.0
2026-05-24 01:00:00,2.8263731293660053,0.004,16.7
2026-05-24 02:00:00,2.9959792370969955,0.006,16.6
2026-05-24 03:00:00,3.2841149035693187,0.012,16.4
2026-05-24 04:00:00,3.34988355481106,0.02,16.2
2026-05-24 05:00:00,3.5485581796222707,0.03,16.1
2026-05-24 06:00:00,3.282115135841839,0.048,16.4
2026-05-24 07:00:00,3.3321180402039836,0.051,17.3
2026-05-24 08:00:00,3.1759176381670784,0.051,18.4
2026-05-24 09:00:00,3.068984192744374,0.048,19.5
2026-05-24 10:00:00,3.287597325571022,0.068,20.4
2026-05-24 11:00:00,3.457598910502189,0.154,21.3
2026-05-24 12:00:00,4.11982531591327,0.299,21.9
2026-05-24 13:00:00,4.886098165944502,0.453,22.0
2026-05-24 14:00:00,5.02972000848289,0.608,21.9
2026-05-24 15:00:00,5.214249131067381,0.651,21.5
2026-05-24 16:00:00,5.108890125158981,0.545,21.0
2026-05-24 17:00:00,5.004609088110102,0.39,20.7
2026-05-24 18:00:00,4.595480337595757,0.237,20.2
2026-05-24 19:00:00,3.8636416057679233,0.091,19.6
2026-05-24 20:00:00,2.8070746652946013,0.023,19.1
2026-05-24 21:00:00,2.7393547233392033,0.015,18.7
2026-05-24 22:00:00,2.763125215863752,0.02,18.4
2026-05-24 23:00:00,2.903264555949103,0.04,18.2
2026-05-25 00:00:00,2.842898656497625,0.063,18.0
2026-05-25 01:00:00,2.845833705848162,0.054,17.7
2026-05-25 02:00:00,2.4594162349512523,0.029,17.5
2026-05-25 03:00:00,2.4277258506344626,0.019,17.2
2026-05-25 04:00:00,2.4093972363932923,0.017,17.0
2026-05-25 05:00:00,2.3927132327836014,0.012,16.8
2026-05-25 06:00:00,2.336987691217145,0.013,17.0
2026-05-25 07:00:00,2.2056395246098237,0.011,17.9
2026-05-25 08:00:00,2.121070012984136,0.009,19.3
2026-05-25 09:00:00,2.160097552062579,0.006,20.5
2026-05-25 10:00:00,2.312956355090097,0.003,21.5
2026-05-25 11:00:00,2.5842877779715567,0.001,22.5
2026-05-25 12:00:00,2.868788822664442,0.005,23.2
2026-05-25 13:00:00,3.4269576384315608,0.036,23.6
2026-05-25 14:00:00,4.467459184902828,0.13,23.7
2026-05-25 15:00:00,5.142924766877634,0.228,23.6
2026-05-25 16:00:00,5.810094228210932,0.237,23.2
2026-05-25 17:00:00,6.1694091106906965,0.196,22.7
2026-05-25 18:00:00,6.339648540134253,0.1,22.2
2026-05-25 19:00:00,5.64287350132636,0.005,21.7
2026-05-25 20:00:00,6.084226768411555,0.03,21.4
2026-05-25 21:00:00,6.217029544273863,0.201,21.1
2026-05-25 22:00:00,6.290780365560066,0.287,21.0
2026-05-25 23:00:00,6.187662537809229,0.27,20.9
2026-05-26 00:00:00,6.6548172996427875,0.295,20.9
2026-05-26 01:00:00,6.797493025996779,0.47,20.9
2026-05-26 02:00:00,8.588125716109454,0.72,20.9
2026-05-26 03:00:00,9.218789469764538,0.828,20.9
2026-05-26 04:00:00,8.18799656985525,0.595,21.0
2026-05-26 05:00:00,7.728753530096207,0.297,21.1
2026-05-26 06:00:00,7.656842732220591,0.206,21.3
2026-05-26 07:00:00,8.123507611644651,0.241,21.5
2026-05-26 08:00:00,8.535420833627052,0.335,21.7
2026-05-26 09:00:00,8.845001395414148,0.445,22.0
2026-05-26 10:00:00,9.121748426241766,0.484,22.4
2026-05-26 11:00:00,9.277423704237018,0.498,22.8
2026-05-26 12:00:00,9.457708991143303,0.498,23.0
2026-05-26 13:00:00,8.670719660855013,0.484,22.9
2026-05-26 14:00:00,8.649148949375409,0.47,22.7
2026-05-26 15:00:00,8.124771068393867,0.437,22.4
2026-05-26 16:00:00,7.98430194660863,0.448,22.2
2026-05-26 17:00:00,7.804610265750868,0.475,21.9
