SYSDATETIME,WTG001_POWER,WTG002_POWER,WTG003_POWER,WTG004_POWER,WTG005_POWER,WTG006_POWER,WTG007_POWER,WTG008_POWER,WTG009_POWER,WTG010_POWER,WTG011_POWER,WTG012_POWER,WTG013_POWER,WTG014_POWER,WTG015_POWER,WTG016_POWER,WTG017_POWER,WTG018_POWER,WTG019_POWER,WTG020_POWER,POWER_TOTAL
2026-05-20 00:00:00,694.4,426.5,671.6,807.4,885.5,701.9,440.5,417.0,714.7,756.4,696.1,667.4,738.4,767.5,779.3,690.6,688.6,473.0,801.2,749.2,13567.2
2026-05-20 01:00:00,827.9,537.5,894.8,962.5,1004.7,858.8,538.3,514.5,920.3,882.4,841.1,813.0,892.7,940.5,964.4,1021.0,948.0,516.0,977.6,922.6,16778.6
2026-05-20 02:00:00,760.4,433.7,835.5,879.8,919.9,788.9,456.5,402.9,824.6,812.8,829.2,743.0,820.2,915.3,738.2,865.4,739.9,594.7,863.6,792.3,15016.8
2026-05-20 03:00:00,555.7,313.7,518.9,515.3,577.1,616.3,326.7,292.7,469.9,466.8,609.0,477.0,523.7,481.5,517.9,595.2,527.8,402.3,568.1,601.7,9957.3
2026-05-20 04:00:00,711.5,396.2,675.0,668.3,740.5,749.0,440.1,329.8,635.5,578.1,824.3,634.4,635.4,681.3,666.8,771.8,724.2,519.9,766.7,723.8,12872.6
2026-05-20 05:00:00,819.0,496.0,800.9,753.3,813.5,831.2,545.6,436.4,739.3,606.1,855.0,713.7,772.1,754.7,683.2,891.9,750.9,491.9,869.0,725.0,14348.7
2026-05-20 06:00:00,929.1,498.4,860.0,822.0,788.4,907.5,522.5,440.4,765.2,666.1,917.0,765.7,835.2,803.0,688.5,930.3,761.6,622.0,944.3,755.1,15222.3
2026-05-20 07:00:00,1050.9,498.6,957.6,941.2,932.8,958.0,524.8,506.5,874.5,880.9,976.0,869.0,944.4,880.4,724.5,977.7,865.4,723.4,1015.4,831.5,16933.5
2026-05-20 08:00:00,863.1,375.4,886.7,898.0,964.4,838.3,405.9,418.0,885.4,932.0,826.9,710.2,793.0,890.3,693.3,772.0,653.4,666.2,893.8,811.0,15177.3
2026-05-20 09:00:00,678.5,367.0,704.3,685.7,681.5,693.1,377.6,364.1,735.9,668.4,628.9,649.6,687.9,734.6,593.4,699.6,593.8,497.9,757.4,686.9,12486.1
