SYSDATETIME,WIND_SPEED_CORRECTED,POWER_PER_TURBINE,POWER_TOTAL
2026-04-08 00:00:00,4.254931391568197,189.0,3780.5
2026-04-08 01:00:00,3.7946378134481487,113.1,2261.2
2026-04-08 02:00:00,3.6256438455040287,87.4,1748.1
2026-04-08 03:00:00,3.593265934896009,79.1,1582.0
2026-04-08 04:00:00,3.5718030097073115,79.6,1592.2
2026-04-08 05:00:00,3.3915440407748445,58.1,1161.3
2026-04-08 06:00:00,3.256309172311995,64.5,1289.2
2026-04-08 07:00:00,2.992449620416595,62.9,1257.1
2026-04-08 08:00:00,2.621508978040477,45.6,911.4
2026-04-08 09:00:00,2.222291769805225,45.9,918.0
2026-04-08 10:00:00,1.773841455799794,46.1,921.5
2026-04-08 11:00:00,1.6960735314265762,44.8,895.2
2026-04-08 12:00:00,2.032285280493051,45.0,901.0
2026-04-08 13:00:00,2.4692924649675807,44.6,891.3
2026-04-08 14:00:00,2.668170191178342,45.6,912.1
2026-04-08 15:00:00,2.825712421852184,45.1,902.5
2026-04-08 16:00:00,2.7997946107735405,45.1,902.4
2026-04-08 17:00:00,2.74049390500984,46.3,926.3
2026-04-08 18:00:00,2.5704751411487377,45.6,912.9
2026-04-08 19:00:00,2.576416353826375,44.4,888.8
2026-04-08 20:00:00,3.177347609792489,67.2,1343.2
2026-04-08 21:00:00,3.642931647254839,86.6,1732.2
2026-04-08 22:00:00,4.423312216798022,221.3,4426.6
2026-04-08 23:00:00,5.370580979852747,432.4,8648.7
2026-04-09 00:00:00,6.113631256493554,681.2,13624.7
2026-04-09 01:00:00,6.5254676861909005,853.7,17073.7
2026-04-09 02:00:00,7.599031088086941,1353.2,27063.3
2026-04-09 03:00:00,7.83788278010952,1483.9,29677.7
2026-04-09 04:00:00,7.998405177939987,1577.1,31542.8
2026-04-09 05:00:00,8.222785087796243,1702.4,34047.6
2026-04-09 06:00:00,7.96649026947591,1584.8,31696.7
2026-04-09 07:00:00,8.240311021273586,1712.5,34249.2
2026-04-09 08:00:00,8.15929584361735,1687.5,33750.7
2026-04-09 09:00:00,7.782475741601434,1469.6,29391.8
2026-04-09 10:00:00,9.306077078062344,2217.0,44340.1
2026-04-09 11:00:00,10.884360080151229,2910.0,58199.7
2026-04-09 12:00:00,11.878074729758136,3000.0,60000.0
2026-04-09 13:00:00,12.791891618171354,3000.0,60000.0
2026-04-09 14:00:00,13.428393247907133,3000.0,60000.0
2026-04-09 15:00:00,15.08728189851973,3000.0,60000.0
2026-04-09 16:00:00,14.425125994782375,3000.0,60000.0
2026-04-09 17:00:00,13.8867803023042,3000.0,60000.0
2026-04-09 18:00:00,13.393929608495274,3000.0,60000.0
2026-04-09 19:00:00,12.25296473931224,3000.0,60000.0
2026-04-09 20:00:00,11.182220100729284,3000.0,60000.0
2026-04-09 21:00:00,10.794554497466065,2926.7,58533.1
2026-04-09 22:00:00,10.93845688239922,2968.2,59363.1
2026-04-09 23:00:00,11.294605994148712,3000.0,60000.0
2026-04-10 00:00:00,10.984077181217364,2976.7,59534.2
2026-04-10 01:00:00,10.436752222172617,2840.6,56811.1
2026-04-10 02:00:00,9.781898677817107,2496.3,49925.0
2026-04-10 03:00:00,8.923077053920998,2056.2,41124.8
2026-04-10 04:00:00,8.36884506546809,1769.7,35394.1
2026-04-10 05:00:00,7.643994155186479,1385.0,27699.9
