SYSDATETIME,WIND_SPEED_CORRECTED,POWER_PER_TURBINE,POWER_TOTAL
2026-05-20 00:00:00,6.370438369408728,773.4,15469.0
2026-05-20 01:00:00,6.569717960420424,832.4,16647.2
2026-05-20 02:00:00,6.561104173066758,832.5,16649.5
2026-05-20 03:00:00,6.936983644045023,1000.6,20012.8
2026-05-20 04:00:00,7.32916907083996,1200.9,24017.4
2026-05-20 05:00:00,7.419902932642206,1270.3,25406.2
2026-05-20 06:00:00,7.021579531602132,1056.9,21138.1
2026-05-20 07:00:00,7.716724159090185,1422.2,28443.4
2026-05-20 08:00:00,6.207914901024178,696.4,13927.6
2026-05-20 09:00:00,6.243327679148544,702.0,14040.6
2026-05-20 10:00:00,6.383870837971313,771.2,15423.9
2026-05-20 11:00:00,6.718970699615778,911.0,18219.2
2026-05-20 12:00:00,8.150914850957038,1621.6,32432.2
2026-05-20 13:00:00,9.600706292004006,2334.4,46687.7
2026-05-20 14:00:00,10.425089106099733,2705.5,54109.4
2026-05-20 15:00:00,10.01528997705893,2543.9,50878.9
2026-05-20 16:00:00,10.139781089929043,2575.1,51502.1
2026-05-20 17:00:00,10.852372558210574,2847.5,56949.3
2026-05-20 18:00:00,11.093210358159292,2918.6,58371.5
2026-05-20 19:00:00,11.904862251324882,2969.8,59395.7
2026-05-20 20:00:00,12.332782995705328,2982.5,59651.0
2026-05-20 21:00:00,12.450156213771898,2989.6,59792.4
2026-05-20 22:00:00,12.2933627140682,2992.2,59843.6
2026-05-20 23:00:00,11.503804604289018,2976.4,59527.2
2026-05-21 00:00:00,10.81025006625709,2844.0,56879.0
2026-05-21 01:00:00,10.130382010383848,2613.4,52267.4
2026-05-21 02:00:00,9.351358303274361,2247.6,44951.5
2026-05-21 03:00:00,8.31621946104284,1734.2,34684.4
2026-05-21 04:00:00,7.831446317713441,1468.1,29361.2
2026-05-21 05:00:00,8.07687811955251,1627.7,32553.6
2026-05-21 06:00:00,8.513555487595225,1880.9,37618.9
2026-05-21 07:00:00,8.083072502925127,1635.6,32712.2
2026-05-21 08:00:00,7.908008347512472,1509.3,30186.4
2026-05-21 09:00:00,8.155477564058415,1673.4,33468.1
2026-05-21 10:00:00,8.091049690917053,1587.4,31748.9
2026-05-21 11:00:00,7.755969166285941,1408.2,28164.7
2026-05-21 12:00:00,7.496430169668532,1284.4,25687.5
2026-05-21 13:00:00,7.107811873400719,1079.8,21596.2
2026-05-21 14:00:00,6.64748215732628,881.7,17634.6
2026-05-21 15:00:00,5.68364096583252,509.9,10198.3
2026-05-21 16:00:00,4.91493576964041,301.5,6030.0
2026-05-21 17:00:00,3.9663486846858853,134.7,2694.3
2026-05-21 18:00:00,3.4967958990420565,62.5,1249.9
2026-05-21 19:00:00,2.8471206277157797,42.5,850.3
2026-05-21 20:00:00,3.471642947232043,58.8,1176.4
2026-05-21 21:00:00,4.085790869878299,151.1,3021.4
2026-05-21 22:00:00,4.298646868158885,190.9,3818.6
2026-05-21 23:00:00,4.153615846585626,165.6,3311.8
2026-05-22 00:00:00,4.104092482647748,157.4,3147.6
2026-05-22 01:00:00,3.6838928054070292,87.4,1747.9
2026-05-22 02:00:00,3.383795900975476,56.4,1128.8
2026-05-22 03:00:00,3.596724400459541,75.1,1502.4
2026-05-22 04:00:00,3.383308437448261,55.3,1105.1
2026-05-22 05:00:00,3.298630022266453,53.8,1076.1
2026-05-22 06:00:00,3.1974900679288787,66.1,1322.7
2026-05-22 07:00:00,2.5373437207777005,42.5,850.9
2026-05-22 08:00:00,2.5908944284402162,43.7,873.7
2026-05-22 09:00:00,2.5584815011637074,43.5,870.4
2026-05-22 10:00:00,2.162270901784582,43.7,873.9
2026-05-22 11:00:00,2.458304460396994,43.0,859.8
2026-05-22 12:00:00,2.803279657352747,43.0,860.2
2026-05-22 13:00:00,3.0990780259706177,66.8,1336.1
2026-05-22 14:00:00,3.281744103294033,58.9,1177.2
2026-05-22 15:00:00,3.0931176666266733,67.1,1341.3
2026-05-22 16:00:00,2.945117666626673,60.0,1200.1
2026-05-22 17:00:00,3.0222236330561523,65.8,1316.5
2026-05-22 18:00:00,3.152746446827702,65.5,1309.8
2026-05-22 19:00:00,2.7853891145212453,42.5,850.3
