SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-05-18 00:00:00,1.7709696455860822,0.015,16.5
2026-05-18 01:00:00,2.053756299570958,0.015,16.0
2026-05-18 02:00:00,2.855960157323217,0.062,15.9
2026-05-18 03:00:00,3.4934406818090116,0.123,15.8
2026-05-18 04:00:00,3.1378161495704466,0.069,15.6
2026-05-18 05:00:00,2.5919356377498617,0.018,15.6
2026-05-18 06:00:00,2.7331251533647762,0.013,15.9
2026-05-18 07:00:00,2.68531459941348,0.02,17.1
2026-05-18 08:00:00,2.3367140183253863,0.017,18.4
2026-05-18 09:00:00,2.342958315401752,0.023,19.7
2026-05-18 10:00:00,2.5948748861743702,0.046,20.6
2026-05-18 11:00:00,3.105808833708833,0.106,21.2
2026-05-18 12:00:00,3.559240906171081,0.186,21.9
2026-05-18 13:00:00,4.30640321540715,0.26,22.4
2026-05-18 14:00:00,4.773877505827653,0.344,22.1
2026-05-18 15:00:00,5.242761461772279,0.335,21.8
2026-05-18 16:00:00,5.042583802605691,0.233,21.5
2026-05-18 17:00:00,4.453984038757487,0.107,21.2
2026-05-18 18:00:00,3.962679187031847,0.036,20.5
2026-05-18 19:00:00,3.3861128950382504,0.005,19.7
2026-05-18 20:00:00,3.1964025750710454,0.001,19.0
2026-05-18 21:00:00,2.9298527682093205,0.008,18.4
2026-05-18 22:00:00,2.799691651194169,0.018,18.2
2026-05-18 23:00:00,2.636074058746909,0.029,17.8
2026-05-19 00:00:00,2.8640594700987876,0.046,17.5
2026-05-19 01:00:00,2.8641666462837154,0.054,17.3
2026-05-19 02:00:00,3.045432057734422,0.054,16.8
2026-05-19 03:00:00,3.0280553356474837,0.054,16.7
2026-05-19 04:00:00,3.270235990625144,0.062,16.6
2026-05-19 05:00:00,3.5106006707142017,0.071,16.5
2026-05-19 06:00:00,3.817555933603852,0.062,16.8
2026-05-19 07:00:00,4.001456390755564,0.051,17.9
2026-05-19 08:00:00,4.213486251317806,0.06,19.0
2026-05-19 09:00:00,3.730056475289828,0.052,20.0
2026-05-19 10:00:00,3.2761645331898572,0.009,21.2
2026-05-19 11:00:00,2.9759560412164308,0.047,21.8
2026-05-19 12:00:00,2.974761751210412,0.188,21.7
2026-05-19 13:00:00,3.3267876472751845,0.266,21.3
2026-05-19 14:00:00,4.227184625052468,0.258,21.0
2026-05-19 15:00:00,4.194870153857206,0.226,21.0
2026-05-19 16:00:00,4.662173711109649,0.164,20.5
2026-05-19 17:00:00,4.493828643096911,0.107,20.2
2026-05-19 18:00:00,4.428386357721955,0.065,19.9
2026-05-19 19:00:00,4.66257340261655,0.047,19.3
2026-05-19 20:00:00,4.081497855477722,0.033,19.0
2026-05-19 21:00:00,3.53578711451898,0.019,18.8
2026-05-19 22:00:00,3.178907187058001,0.011,18.7
2026-05-19 23:00:00,2.9864101691085634,0.01,18.7
2026-05-20 00:00:00,2.9536984763504712,0.012,18.6
2026-05-20 01:00:00,3.2677998722331223,0.02,18.6
2026-05-20 02:00:00,3.677726263818428,0.041,18.6
2026-05-20 03:00:00,3.7360245962851937,0.067,18.7
2026-05-20 04:00:00,3.831306924551185,0.088,18.8
2026-05-20 05:00:00,4.514441237870277,0.11,19.0
2026-05-20 06:00:00,4.553871995558323,0.114,19.2
2026-05-20 07:00:00,5.065791712418685,0.141,19.1
2026-05-20 08:00:00,5.909989971847681,0.252,19.0
2026-05-20 09:00:00,6.398843308608962,0.375,19.2
2026-05-20 10:00:00,6.324446908484432,0.295,19.3
2026-05-20 11:00:00,6.2421467939106865,0.139,19.3
2026-05-20 12:00:00,6.501406930747682,0.086,19.6
2026-05-20 13:00:00,6.9749835361401535,0.14,19.7
2026-05-20 14:00:00,7.195335795372429,0.306,19.5
2026-05-20 15:00:00,7.187975740601893,0.437,19.3
2026-05-20 16:00:00,6.7502110690060775,0.39,18.9
2026-05-20 17:00:00,6.7468938646036785,0.25,18.8
2026-05-20 18:00:00,6.241891531829335,0.164,18.5
2026-05-20 19:00:00,7.212979667705725,0.11,18.3
