SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-05-16 00:00:00,2.7254024627391837,0.028,16.3
2026-05-16 01:00:00,2.6490376482099958,0.033,16.1
2026-05-16 02:00:00,2.6596273716101173,0.039,15.9
2026-05-16 03:00:00,2.7206307042386646,0.039,15.7
2026-05-16 04:00:00,2.7809871463581803,0.039,15.5
2026-05-16 05:00:00,2.8890218505931418,0.034,15.4
2026-05-16 06:00:00,2.825071505682632,0.025,15.6
2026-05-16 07:00:00,2.7624598425038966,0.018,16.5
2026-05-16 08:00:00,2.6613276912660364,0.01,17.7
2026-05-16 09:00:00,2.4738032014545213,0.015,18.7
2026-05-16 10:00:00,2.5115044040846333,0.065,19.4
2026-05-16 11:00:00,3.1375123927307964,0.219,19.9
2026-05-16 12:00:00,3.7025429497515137,0.434,20.2
2026-05-16 13:00:00,4.053853038049774,0.576,20.0
2026-05-16 14:00:00,4.870900416048006,0.665,20.0
2026-05-16 15:00:00,5.445573263538311,0.665,19.8
2026-05-16 16:00:00,5.800396056049844,0.634,19.5
2026-05-16 17:00:00,5.670546172781795,0.527,18.9
2026-05-16 18:00:00,5.618538252297563,0.395,18.4
2026-05-16 19:00:00,4.941351934491274,0.219,17.6
2026-05-16 20:00:00,4.139078613117121,0.086,17.0
2026-05-16 21:00:00,3.6538457962127486,0.034,16.7
2026-05-16 22:00:00,3.5074495129544916,0.028,16.5
2026-05-16 23:00:00,3.8834387518363096,0.045,16.5
2026-05-17 00:00:00,3.646251261666705,0.063,16.3
2026-05-17 01:00:00,3.480587968116553,0.062,16.1
2026-05-17 02:00:00,3.592773608032226,0.054,15.8
2026-05-17 03:00:00,3.6516502997703384,0.043,15.6
2026-05-17 04:00:00,3.2028856463242397,0.038,15.5
2026-05-17 05:00:00,2.925928243330768,0.034,15.4
2026-05-17 06:00:00,2.766811509887831,0.03,15.5
2026-05-17 07:00:00,3.45901959301769,0.025,16.5
2026-05-17 08:00:00,2.937230504984085,0.033,17.5
2026-05-17 09:00:00,3.0547166751016928,0.068,18.4
2026-05-17 10:00:00,3.3778425886095524,0.147,19.2
2026-05-17 11:00:00,3.620717137737214,0.315,20.0
2026-05-17 12:00:00,4.270426471091001,0.458,20.3
