SYSDATETIME,WIND_SPEED_CORRECTED,POWER_PER_TURBINE,POWER_TOTAL
2026-05-19 00:00:00,3.46946722873844,60.1,1202.2
2026-05-19 01:00:00,3.445773134278544,59.1,1182.9
2026-05-19 02:00:00,3.6391976836012025,81.3,1626.4
2026-05-19 03:00:00,3.873564853674365,116.1,2321.9
2026-05-19 04:00:00,4.111522360667985,157.8,3155.7
2026-05-19 05:00:00,4.524392033597214,230.1,4602.2
2026-05-19 06:00:00,4.714409293465405,260.8,5216.1
2026-05-19 07:00:00,4.948227282524585,317.6,6352.0
2026-05-19 08:00:00,5.042069366437336,343.0,6860.4
2026-05-19 09:00:00,5.046422674323395,342.8,6856.1
2026-05-19 10:00:00,4.172623412366816,168.9,3377.2
2026-05-19 11:00:00,3.435886374948673,59.3,1185.6
2026-05-19 12:00:00,2.5762563945741617,43.0,860.2
2026-05-19 13:00:00,2.506532506332143,43.0,860.2
2026-05-19 14:00:00,3.3754741929535985,58.9,1177.2
2026-05-19 15:00:00,4.0262424982541205,140.8,2816.4
2026-05-19 16:00:00,3.9016578365472094,121.9,2437.7
2026-05-19 17:00:00,4.112901258702018,156.5,3130.5
2026-05-19 18:00:00,4.04965524997613,144.3,2886.3
2026-05-19 19:00:00,3.5034787303604085,62.4,1248.2
2026-05-19 20:00:00,3.203826563559269,60.1,1203.0
2026-05-19 21:00:00,3.4657697428034373,59.2,1184.5
2026-05-19 22:00:00,3.2942678318395275,56.3,1125.4
2026-05-19 23:00:00,3.427534040361889,59.6,1191.4
2026-05-20 00:00:00,3.755422517867127,99.2,1984.2
2026-05-20 01:00:00,4.177271614278356,167.8,3355.4
2026-05-20 02:00:00,4.206410427687268,172.7,3453.0
2026-05-20 03:00:00,4.282779536771685,185.9,3718.0
2026-05-20 04:00:00,4.30160012266812,191.2,3823.1
2026-05-20 05:00:00,4.587967322523872,241.0,4819.1
2026-05-20 06:00:00,5.330785450162924,410.9,8218.8
2026-05-20 07:00:00,5.045410920473553,342.6,6851.3
2026-05-20 08:00:00,5.266065817465451,391.4,7827.4
2026-05-20 09:00:00,5.633849615637304,496.3,9925.9
2026-05-20 10:00:00,5.361613788815017,413.9,8277.2
2026-05-20 11:00:00,5.7344970651993,532.1,10641.6
2026-05-20 12:00:00,5.912763786132784,587.3,11745.9
2026-05-20 13:00:00,5.736756600623948,528.3,10565.2
2026-05-20 14:00:00,6.601678460039417,849.5,16989.4
2026-05-20 15:00:00,6.33238666917251,740.3,14806.5
2026-05-20 16:00:00,7.093182670378305,1074.9,21497.4
2026-05-20 17:00:00,7.736214404526659,1383.7,27673.3
2026-05-20 18:00:00,8.171048803455813,1626.5,32529.6
2026-05-20 19:00:00,8.240595284277774,1656.9,33137.1
2026-05-20 20:00:00,8.030231703042396,1545.5,30911.0
2026-05-20 21:00:00,8.117302022537874,1621.0,32420.6
2026-05-20 22:00:00,7.378697886857794,1229.4,24588.1
2026-05-20 23:00:00,7.122023556966109,1102.4,22048.8
2026-05-21 00:00:00,6.759006314218635,918.9,18377.2
2026-05-21 01:00:00,6.602013084819826,854.9,17097.1
2026-05-21 02:00:00,7.158759755269761,1122.5,22449.5
2026-05-21 03:00:00,7.888663679528214,1497.7,29954.9
2026-05-21 04:00:00,8.404383173142179,1783.3,35666.5
2026-05-21 05:00:00,8.275600581015885,1740.5,34809.2
