SYSDATETIME,WIND_SPEED_CORRECTED,POWER_PER_TURBINE,POWER_TOTAL
2026-05-16 00:00:00,2.725402462739184,42.1,842.4
2026-05-16 01:00:00,2.649037648209996,42.1,842.0
2026-05-16 02:00:00,2.6596273716101173,43.5,869.2
2026-05-16 03:00:00,2.7206307042386646,43.0,860.2
2026-05-16 04:00:00,2.7809871463581803,42.4,848.8
2026-05-16 05:00:00,2.8890218505931418,58.7,1174.5
2026-05-16 06:00:00,2.825071505682632,42.0,840.6
2026-05-16 07:00:00,2.7624598425038966,42.5,850.9
2026-05-16 08:00:00,2.6613276912660364,43.7,873.7
2026-05-16 09:00:00,2.4738032014545213,43.5,870.4
2026-05-16 10:00:00,2.5115044040846333,43.7,873.9
2026-05-16 11:00:00,3.1375123927307964,66.8,1335.8
2026-05-16 12:00:00,3.7025429497515137,89.4,1788.1
2026-05-16 13:00:00,4.053853038049774,148.0,2961.0
2026-05-16 14:00:00,4.870900416048006,298.4,5968.7
2026-05-16 15:00:00,5.445573263538311,435.2,8704.6
2026-05-16 16:00:00,5.800396056049844,549.3,10986.4
2026-05-16 17:00:00,5.670546172781795,503.3,10066.1
2026-05-16 18:00:00,5.618538252297563,484.3,9685.5
2026-05-16 19:00:00,4.941351934491274,306.9,6137.2
2026-05-16 20:00:00,4.139078613117121,160.7,3214.0
2026-05-16 21:00:00,3.6538457962127486,82.3,1645.1
2026-05-16 22:00:00,3.507449512954492,64.1,1281.5
2026-05-16 23:00:00,3.8834387518363096,115.9,2317.1
2026-05-17 00:00:00,3.646251261666705,83.1,1662.8
2026-05-17 01:00:00,3.480587968116553,60.1,1201.8
2026-05-17 02:00:00,3.592773608032226,72.5,1450.7
2026-05-17 03:00:00,3.6516502997703375,83.7,1674.2
2026-05-17 04:00:00,3.20288564632424,61.5,1230.0
2026-05-17 05:00:00,2.925928243330768,58.7,1174.5
2026-05-17 06:00:00,2.766811509887831,42.0,840.6
2026-05-17 07:00:00,3.45901959301769,59.2,1184.8
2026-05-17 08:00:00,2.937230504984085,60.4,1207.5
2026-05-17 09:00:00,3.0547166751016928,67.5,1350.5
2026-05-17 10:00:00,3.3778425886095524,57.3,1145.7
2026-05-17 11:00:00,3.620717137737214,80.8,1616.0
2026-05-17 12:00:00,4.270426471091001,184.9,3697.7
2026-05-17 13:00:00,4.385121960974877,208.8,4175.5
2026-05-17 14:00:00,4.648849196736393,254.3,5085.7
2026-05-17 15:00:00,4.779405285665735,279.9,5599.0
2026-05-17 16:00:00,4.527692137647343,231.2,4623.5
2026-05-17 17:00:00,4.576989484296071,240.5,4810.4
2026-05-17 18:00:00,4.131502148787583,160.8,3215.9
2026-05-17 19:00:00,2.935724472526544,59.1,1182.2
2026-05-17 20:00:00,2.457181208970255,42.3,846.0
2026-05-17 21:00:00,2.043132574614745,43.0,860.8
2026-05-17 22:00:00,2.132248645490521,43.7,874.2
2026-05-17 23:00:00,2.149330585304861,42.5,850.4
2026-05-18 00:00:00,2.282123390511808,42.1,842.4
